kind,id,score,blocker,recoverable_share,confidence,score_model_id,rubric_version
onet,10016,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,156,78,none,0.5,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,2596,40,physical,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,7064,75,none,0.5,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,8079,15,physical,0.08,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1655,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11614,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12753,8,physical,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4359,60,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,661,15,interpersonal,0.08,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,5750,50,interpersonal,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,2863,45,judgment,0.28,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,8937,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8453,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4774,30,interpersonal,0.18,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,8661,10,physical,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,999,55,data_access,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,295,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4831,45,interpersonal,0.28,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,13365,70,data_access,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,11670,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8788,22,interpersonal,0.12,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,4247,88,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7054,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11612,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,5856,75,judgment,0.5,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,4553,50,interpersonal,0.3,low,claude-fable-5,v2.0-0bc6e57d39a2
onet,193,60,interpersonal,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,4033,15,interpersonal,0.08,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14136,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14569,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2765,82,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7570,72,data_access,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,9098,8,physical,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1996,78,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12159,15,physical,0.08,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,9610,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,404,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2466,62,none,0.38,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,2618,30,physical,0.18,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,4101,8,interpersonal,0.04,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,1128,80,judgment,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4509,25,physical,0.15,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,8018,2,interpersonal,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8332,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7848,25,physical,0.15,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,1795,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,10675,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13170,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3922,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,1010,60,judgment,0.38,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,9152,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10160,75,none,0.5,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,5582,90,none,0.75,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7635,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,199,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3747,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8099,55,interpersonal,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,9296,25,interpersonal,0.15,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2509,82,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,6956,55,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,9256,15,physical,0.08,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,2137,55,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,5159,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5130,88,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6249,88,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7279,75,none,0.5,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,6050,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3675,15,judgment,0.08,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8835,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1379,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5820,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6741,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,6093,88,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2752,70,interpersonal,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,8900,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3924,82,judgment,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6470,50,interpersonal,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,5258,68,physical,0.42,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,7938,40,interpersonal,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,4299,45,judgment,0.28,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,510,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,4466,70,none,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,6964,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13222,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1899,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,689,72,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,6143,92,none,0.75,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11844,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8185,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9608,88,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8835,80,none,0.55,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,3432,45,physical,0.28,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,6183,25,judgment,0.12,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1432,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1374,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12272,8,physical,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12657,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,6057,88,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,838,82,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4536,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14754,35,judgment,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,14096,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10073,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,524,55,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,13206,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14781,72,none,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,5847,65,interpersonal,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,3023,70,none,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,415,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14937,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4192,30,interpersonal,0.18,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,9698,65,physical,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,323,55,interpersonal,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,4658,25,interpersonal,0.15,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6198,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4634,5,interpersonal,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2655,45,judgment,0.28,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,10106,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5509,92,none,0.75,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10585,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13648,60,data_access,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,11021,30,physical,0.18,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,13854,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9266,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,1459,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13367,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2654,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9193,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4244,92,none,0.75,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12236,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,15449,25,physical,0.12,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,4690,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3073,25,physical,0.15,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,15334,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6815,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9589,60,none,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,13352,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11205,10,physical,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14942,15,physical,0.08,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,5694,88,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9298,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10194,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9279,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5938,82,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12872,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9737,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12264,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1616,15,physical,0.08,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,14297,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1729,40,interpersonal,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,7059,82,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4913,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3710,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8142,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2261,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4948,25,physical,0.15,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,2241,60,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,8929,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,883,8,physical,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5920,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6214,25,interpersonal,0.15,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3639,55,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,12403,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,362,85,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4549,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9231,40,interpersonal,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,13959,55,data_access,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,3660,40,judgment,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,1210,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,7454,5,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6356,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5755,55,physical,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,3020,55,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,645,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11187,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8435,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,5276,50,judgment,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,5184,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2379,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,208,45,judgment,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,7365,25,physical,0.15,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,13230,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,1674,60,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,12412,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2443,60,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,4928,55,interpersonal,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,6947,65,data_access,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,300,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,6303,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12671,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3081,8,physical,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13644,50,judgment,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,12192,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2314,8,physical,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14794,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3622,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9262,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12590,70,none,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,5853,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14276,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,497,35,judgment,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,6507,70,judgment,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,13098,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,987,20,interpersonal,0.1,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1329,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8467,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3538,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8128,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9134,8,physical,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6642,25,judgment,0.15,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,6752,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11586,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10534,30,interpersonal,0.15,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,14072,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3830,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2863,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14619,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1819,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1195,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,15156,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,15082,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4765,65,data_access,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,8938,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,15,50,judgment,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,6758,35,physical,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,14226,60,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,2681,70,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14540,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8860,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10326,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7798,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3881,25,interpersonal,0.1,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8992,55,interpersonal,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,2974,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,524,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2981,30,judgment,0.15,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,1173,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,5832,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1369,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6308,35,interpersonal,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,7998,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,14927,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6369,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9520,35,judgment,0.2,low,claude-fable-5,v2.0-0bc6e57d39a2
micro,3374,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,7952,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8140,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7334,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10140,55,interpersonal,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,7299,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5180,70,data_access,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,3815,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3791,35,interpersonal,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,4022,60,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,8489,70,judgment,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,7550,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2635,55,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,5815,90,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5784,55,physical,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,12538,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8261,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5906,70,data_access,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,8803,10,interpersonal,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8950,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,15119,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8201,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8101,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3849,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8220,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3692,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5715,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10690,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,6709,35,interpersonal,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,18,45,judgment,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,10167,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5287,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,5801,30,interpersonal,0.15,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11103,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,7467,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7169,15,physical,0.08,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9475,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12372,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2475,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9633,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,15045,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4979,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,5721,15,interpersonal,0.08,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2713,65,judgment,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,6503,40,interpersonal,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,4729,55,interpersonal,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,4178,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9628,85,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1179,35,interpersonal,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,6446,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14804,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4067,60,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,15088,10,physical,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11010,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2561,30,physical,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,9313,50,interpersonal,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,15319,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11813,65,judgment,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,14593,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13580,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9489,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1579,65,data_access,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,7754,20,physical,0.1,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,13171,55,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,15009,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8902,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11647,20,physical,0.1,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,11135,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5886,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7787,70,judgment,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,3352,85,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11600,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,668,70,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1961,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,5641,70,none,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3563,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1221,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8289,75,none,0.5,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,14999,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2310,8,physical,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4339,25,interpersonal,0.1,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9601,85,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12977,55,judgment,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,999,35,interpersonal,0.2,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1036,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,383,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,5067,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12644,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2545,70,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14450,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13209,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
